artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links
Vladimir Horowitz,2.0,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: III. L'istesso tempo - Allegro molto",372.013,Sergei Rachmaninoff,86,,"Sergei_Rachmaninoff/Piano_Sonata_No._2_in_B-Flat_Minor,_Op._36_-_1913_Version/3._Allegro_molto/00265.mid",https://www.youtube.com/watch?v=m7OgDFKsP4M
Arturo Benedetti Michelangeli,10.0,"Faschingsschwank aus Wien, Op. 26: III. Scherzino",141.4,Robert Schumann,252,,"Robert_Schumann/Faschingsschwank_aus_Wien,_Op._26/III._Scherzino/01287.mid",https://www.youtube.com/watch?v=FJDwjW4-tVY
Arturo Benedetti Michelangeli,10.0,"Faschingsschwank aus Wien, Op. 26: V. Finale (Il più vivace possibile)",293.493,Robert Schumann,253,,"Robert_Schumann/Faschingsschwank_aus_Wien,_Op._26/V._Finale/01300.mid",https://www.youtube.com/watch?v=Dq5o9FAa6H4
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: V. Rondeaux",77.066,Johann Sebastian Bach,342,,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/5._Rondeaux/01787.mid",https://www.youtube.com/watch?v=uJJ0yljthzw
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: II. Allemande",258.026,Johann Sebastian Bach,346,,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/2._Allemande/01847.mid",https://www.youtube.com/watch?v=1YXcVQiq5A8
Martha Argerich,7.0,"Partita No. 2 in C Minor, BWV 826: VI. Capriccio",182.933,Johann Sebastian Bach,347,,"Johann_Sebastian_Bach/Partita_No._2_in_C_minor,_BWV_826/6._Capriccio/01859.mid",https://www.youtube.com/watch?v=AgaT18p20YY
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 3. Sarabande",260.64,Johann Sebastian Bach,365,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/III._Sarabande/01891.mid",https://www.youtube.com/watch?v=WrmOjIsv1hY
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 4. Gavotte",73.773,Johann Sebastian Bach,362,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/IV._Gavotte/01903.mid",https://www.youtube.com/watch?v=UQeecYcfzes
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 2. Courante",92.693,Johann Sebastian Bach,368,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/2._Courante/01914.mid",https://www.youtube.com/watch?v=wErTMMusRtM
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 7. Gigue",208.466,Johann Sebastian Bach,363,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/7._Gigue/J._S._Bach_French_Suite_V_Gigue_BWV_816.7.mxl","Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/7._Gigue/01931.mid",https://www.youtube.com/watch?v=kyeL0etYRqg
András Schiff,4.0,"French Suite No. 5 in G, BWV 816: 6. Loure",116.8,Johann Sebastian Bach,366,,"Johann_Sebastian_Bach/French_Suite_No._5_in_G,_BWV_816/6._Loure/01943.mid",https://www.youtube.com/watch?v=gnsxUr2WNW0
Murray Perahia,13.0,"English Suite No. 1 in A Major, BWV 806: V. Sarabande",244.306,Johann Sebastian Bach,448,,Johann_Sebastian_Bach/English_Suite_No.1_in_A_major_BWV_806/5._Sarabande/02190.mid,https://www.youtube.com/watch?v=3j8XmHmygl8
Hélène Grimaud,38.0,"Das Wohltemperierte Klavier: Book 1, BWV 846-869: I. Prelude In C Minor BWV 847",91.04,Johann Sebastian Bach,528,,"Johann_Sebastian_Bach/The_Well-Tempered_Clavier,_Book_I/No._2_in_C_Minor,_BWV_847:_Prelude/02574.mid",https://www.youtube.com/watch?v=N1GrbU8y78g
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 1. Allemande",142.666,Johann Sebastian Bach,574,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/1._Allemande/02794.mid",https://www.youtube.com/watch?v=wVB4ETJGpjA
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 5. Polonaise",86.46600000000002,Johann Sebastian Bach,576,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/5._Polonaise/02807.mid",https://www.youtube.com/watch?v=CIe47R821pQ
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 4. Gavotte",69.533,Johann Sebastian Bach,577,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/4._Gavotte/02815.mid",https://www.youtube.com/watch?v=6FdWvLB1FeI
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 6. Menuet",82.82600000000002,Johann Sebastian Bach,578,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/6._Menuet/02822.mid",https://www.youtube.com/watch?v=VNdQ_RgX2HU
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 7. Bourrée",87.17299999999999,Johann Sebastian Bach,580,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/7._Bourrée/02836.mid",https://www.youtube.com/watch?v=zzlWLEnBkgQ
Alicia de Larrocha,18.0,"French Suite No. 6 in E Major, BWV 817: 2. Courante",88.16,Johann Sebastian Bach,581,,"Johann_Sebastian_Bach/French_Suite_No.6_in_E,_BWV_817/2._Courante/02844.mid",https://www.youtube.com/watch?v=KPPoRW26VOo
Pierre-Laurent Aimard,16.0,"Miroirs, M.43: 5. La vallée des cloches",368.706,Maurice Ravel,715,,"Maurice_Ravel/Miroirs,_M._43/No._5,_La_vallée_des_cloches/03437.mid",https://www.youtube.com/watch?v=XRZyn1dHWf8
Claudio Arrau,11.0,"6 Moments musicaux, Op.94, D.780: No.3 in F Minor (Allegro moderato)",128.986,Franz Schubert,861,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml","Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/03927.mid",https://www.youtube.com/watch?v=EHcpqjxYBQo
Mitsuko Uchida,26.0,"Six German Dances, D820: No.5",85.21700000000001,Franz Schubert,888,,"Franz_Schubert/Six_German_Dances,_D.820/No.5/04220.mid",https://www.youtube.com/watch?v=BM5GRws55KI
Mitsuko Uchida,26.0,"12 German Dances, D790: No.6",70.774,Franz Schubert,892,,"Franz_Schubert/Six_German_Dances,_D.820/No.6/04231.mid",https://www.youtube.com/watch?v=2fVGdLLP8qg
Maurizio Pollini,5.0,"Piano Sonata, No. 16 in A Minor, D. 845: IV. Rondo (Allegro vivace)",316.173,Franz Schubert,898,,"Franz_Schubert/Piano_Sonata_No._16_in_A_Minor,_Op._42,_D._845/IV._Allegro_vivace/04261.mid",https://www.youtube.com/watch?v=ibM57wl5F-o
Mitsuko Uchida,26.0,"Piano Sonata No.9 in B, D.575: 4. Allegro giusto",339.0,Franz Schubert,934,,"Franz_Schubert/Piano_Sonata_No.9_in_B,_D.575/4._Allegro_giusto/04515.mid",https://www.youtube.com/watch?v=bziXIXAVAyQ
Glenn Gould,15.0,"Variations for Piano, Op. 27: II. Sehr schnell",32.866,Anton Webern,970,,"Anton_Webern/Variations_for_Piano,_Op._27/2._Sehr_schnell/04623.mid",https://www.youtube.com/watch?v=cW89Tp0Mhk0
Alfred Brendel,19.0,"Piano Sonata No. 12 in F Major, K. 332: III. Allegro assai",423.49300000000005,Wolfgang Amadeus Mozart,1118,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.12_in_F,_K.332/1._Allegro/musicxml_cleaned.musicxml","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.12_in_F,_K.332/1._Allegro/05238.mid",https://www.youtube.com/watch?v=cQyxLHjdG2s
Vladimir Horowitz,2.0,"Piano Sonata No. 10 In C Major, K.330: 2. Andante cantabile - Live",358.144,Wolfgang Amadeus Mozart,1151,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No._10_In_C_Major,_K.330/2._Andante_cantabile/Sonata_No._10_2nd_Movement_K._330.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No._10_In_C_Major,_K.330/2._Andante_cantabile/05651.mid",https://www.youtube.com/watch?v=CxtKj8Dmxo8
Mitsuko Uchida,26.0,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 3. Rondo. Allegro",120.44,Wolfgang Amadeus Mozart,1163,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.16_in_C,_K.545_""Sonata_facile""/3._Rondo_(Allegro)/Sonata_No._16_3rd_Movement_K._545.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.16_in_C,_K.545_""Sonata_facile""/3._Rondo_(Allegro)/05803.mid",https://www.youtube.com/watch?v=3LQT_1eEr6s
Maurizio Pollini,5.0,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo (Allegro)",224.08,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05855.mid",https://www.youtube.com/watch?v=dNeQwo_PSX4
Sviatoslav Richter,0.0,"Piano Sonata No.19 in G minor, Op.49 No.1: 1. Andante",326.89,Ludwig van Beethoven,1188,"Ludwig_van_Beethoven/Piano_Sonata_No._19_in_G_Minor,_Op._49,_No._1/I._Andante/Sonate_No._19_1st_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._19_in_G_Minor,_Op._49,_No._1/I._Andante/06434.mid",https://www.youtube.com/watch?v=QgDNqAVMFCo
Alfred Brendel,19.0,"Piano Sonata No. 30 in E Major, Op. 109: 2. Prestissimo",154.506,Ludwig van Beethoven,1207,"Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/II._Prestissimo/Sonate_No._30_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/II._Prestissimo/06830.mid",https://www.youtube.com/watch?v=A2ehgPwRIbQ
Alfred Brendel,19.0,"Piano Sonata No. 30 in E Major, Op. 109: 3. Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo",732.0,Ludwig van Beethoven,1208,"Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/III._Andante_molto_cantabile_ed_espressivo/Sonate_No._30_3rd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._30_in_E_Major,_Op._109/III._Andante_molto_cantabile_ed_espressivo/06877.mid",https://www.youtube.com/watch?v=i4q7amdzhDc
Alice Sara Ott,44.0,"Piano Sonata No.21 In C, Op.53 -""Waldstein"": 1. Allegro con brio",676.04,Ludwig van Beethoven,1213,"Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/I._Allegro_con_brio/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/I._Allegro_con_brio/07039.mid",https://www.youtube.com/watch?v=eaewW_OLmmY
Vladimir Horowitz,2.0,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",573.28,Ludwig van Beethoven,1214,"Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/III._Rondo:_Allegretto_moderato/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/III._Rondo:_Allegretto_moderato/07046.mid",https://www.youtube.com/watch?v=W3reFoUUQO4
Artur Schnabel,23.0,"Piano Sonata No. 21 in C Major, Op. 53, ""Waldstein"": III. Rondo: Allegretto moderato - Prestissimo",532.32,Ludwig van Beethoven,1214,"Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/III._Rondo:_Allegretto_moderato/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/III._Rondo:_Allegretto_moderato/07077.mid",https://www.youtube.com/watch?v=8MB3f-jeYMg
Vladimir Horowitz,2.0,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",230.426,Ludwig van Beethoven,1215,"Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/II._Introduzione:_Adagio_molto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._21_in_C_major,_Op._53,_""Waldstein""/II._Introduzione:_Adagio_molto/07100.mid",https://www.youtube.com/watch?v=iY-KqM4Vojk
Vladimir Horowitz,2.0,"Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": II. Andante con moto",356.386,Ludwig van Beethoven,1222,"Ludwig_van_Beethoven/Piano_Sonata_No._23_in_F_Minor,_Op._57_""Appassionata""/II._Andante_con_moto/Sonate_No._23_Appassionata_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._23_in_F_Minor,_Op._57_""Appassionata""/II._Andante_con_moto/07322.mid",https://www.youtube.com/watch?v=WPo59RJg9TI
Artur Schnabel,23.0,Piano Sonata No. 23 in F minor Op. 57 'Appassionata': I. Allegro assai - Più allegro,540.133,Ludwig van Beethoven,1223,"Ludwig_van_Beethoven/Piano_Sonata_No._23_in_F_Minor,_Op._57_""Appassionata""/I._Allegro_assai/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._23_in_F_Minor,_Op._57_""Appassionata""/I._Allegro_assai/07463.mid",https://www.youtube.com/watch?v=5ZUF_ElO9uk
Sviatoslav Richter,0.0,"Piano Sonata No.10 in G, Op.14 No.2: 3. Scherzo (Allegro assai)",190.357,Ludwig van Beethoven,1224,"Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/III._Scherzo._Allegro_assai/Sonate_No._10_3rd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/III._Scherzo._Allegro_assai/07491.mid",https://www.youtube.com/watch?v=Q3nBt4toNW0
Alfred Brendel,19.0,"Piano Sonata No.10 in G, Op.14 No.2: 1. Allegro",476.0,Ludwig van Beethoven,1225,"Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/I._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/I._Allegro/07537.mid",https://www.youtube.com/watch?v=9vsqYn2sTWE
Alfred Brendel,19.0,"Piano Sonata No.10 in G, Op.14 No.2: 2. Andante",310.906,Ludwig van Beethoven,1226,"Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/II._Andante/Sonate_No._10_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._10_in_G_Major,_Op._14_No._2/II._Andante/07565.mid",https://www.youtube.com/watch?v=CJLA2ppxPoc
Alfred Brendel,19.0,"Piano Sonata No.8 in C minor, Op.13 -""Pathétique"": 2. Adagio cantabile",317.506,Ludwig van Beethoven,1242,"Ludwig_van_Beethoven/Piano_Sonata_No._8_in_C_Minor,_Op._13_""Pathétique""/II._Adagio_cantabile/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._8_in_C_Minor,_Op._13_""Pathétique""/II._Adagio_cantabile/08072.mid",https://www.youtube.com/watch?v=fo1q5zHCsds
Daniel Barenboim,9.0,"Piano Sonata No. 15 In D Major, Op. 28 -""Pastorale"": 4. Rondo. Allegro ma non troppo",326.666,Ludwig van Beethoven,1248,"Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/4._Rondo._Allegro_ma_non_troppo/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/4._Rondo._Allegro_ma_non_troppo/08225.mid",https://www.youtube.com/watch?v=UaO_FDlMjlc
Daniel Barenboim,9.0,"Piano Sonata No. 15 In D Major, Op. 28 -""Pastorale"": 2. Andante",461.0,Ludwig van Beethoven,1249,"Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/2._Andante/Sonate_No._15_Pastoral_2nd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/2._Andante/08258.mid",https://www.youtube.com/watch?v=F_TTM8wI-3I
Emil Gilels,1.0,"Piano Sonata No.15 In D, Op.28 -""Pastorale"": 1. Allegro",732.961,Ludwig van Beethoven,1251,"Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/1._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No.15_in_D,_Op.28_-""Pastorale""/1._Allegro/08292.mid",https://www.youtube.com/watch?v=-mk9H5OtZwA
Alfred Brendel,19.0,"Piano Sonata No.17 in D minor, Op.31 No.2 -""Tempest"": 2. Adagio",522.727,Ludwig van Beethoven,1252,"Ludwig_van_Beethoven/Piano_Sonata_No._17_in_D_Minor,_Op._31_No._2_""Tempest""/II._Adagio/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._17_in_D_Minor,_Op._31_No._2_""Tempest""/II._Adagio/08351.mid",https://www.youtube.com/watch?v=PUbHTtOqqgQ
Wilhelm Kempff,28.0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato",330.0,Ludwig van Beethoven,1304,"Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/3._Presto_agitato/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/3._Presto_agitato/08922.mid",https://www.youtube.com/watch?v=dxW7A5bzjwA
Wilhelm Kempff,28.0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",362.253,Ludwig van Beethoven,1305,"Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/1._Adagio_sostenuto/Sonate_No._14_Moonlight_1st_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/1._Adagio_sostenuto/08972.mid",https://www.youtube.com/watch?v=AbEr3_dlK8M
Wilhelm Kempff,28.0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",380.0,Ludwig van Beethoven,1305,"Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/1._Adagio_sostenuto/Sonate_No._14_Moonlight_1st_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._14_in_C-Sharp_Minor,_Op._27_No._2_""Moonlight""/1._Adagio_sostenuto/08973.mid",https://www.youtube.com/watch?v=EupR4oC2tN0
Maurizio Pollini,5.0,"Piano Sonata No. 32 in C Minor, Op. 111: II. Arietta - Adagio molto semplice e cantabile",1043.346,Ludwig van Beethoven,1307,"Ludwig_van_Beethoven/Piano_Sonata_No._32_in_C_Minor,_Op._111/II._Arietta._Adagio_molto_semplice_e_cantabile/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._32_in_C_Minor,_Op._111/II._Arietta._Adagio_molto_semplice_e_cantabile/09031.mid",https://www.youtube.com/watch?v=WxQ_yBtmpdo
Maurizio Pollini,5.0,"Piano Sonata No. 5 in C Minor, Op. 10 No. 1: III. Finale (Prestissimo)",237.626,Ludwig van Beethoven,1311,"Ludwig_van_Beethoven/Piano_Sonata_No.5_in_C_minor,_Op.10_No.1/3._Finale_(Prestissimo)/Sonate_No._5_3rd_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No.5_in_C_minor,_Op.10_No.1/3._Finale_(Prestissimo)/09186.mid",https://www.youtube.com/watch?v=zFZLL3aMRk4
Vladimir Ashkenazy,6.0,"12 Études, Op. 10: No. 4 in C-Sharp Minor",122.84,Frédéric Chopin,1420,,"Frederic_Chopin/12_Études,_Op._10/No._4_in_C-Sharp_Minor/09568.mid",https://www.youtube.com/watch?v=c7uCXrEH2IU
Murray Perahia,13.0,"12 Études, Op. 10: No. 4 in C-Sharp Minor ""Torrent""",121.253,Frédéric Chopin,1420,,"Frederic_Chopin/12_Études,_Op._10/No._4_in_C-Sharp_Minor/09576.mid",https://www.youtube.com/watch?v=DJ1iSciX_7Q
Murray Perahia,13.0,"12 Études, Op. 25: No. 2 in F Minor ""The Bees""",94.986,Frédéric Chopin,1426,,"Frederic_Chopin/12_Études,_Op._25/No._2_in_F_Minor/09672.mid",https://www.youtube.com/watch?v=XFADpCeK5y0
Maurizio Pollini,5.0,"Piano Sonata No.2 In B Flat Minor, Op.35: 1. Grave - Doppio movimento",438.56,Frédéric Chopin,1452,,"Frederic_Chopin/Piano_Sonata_No.2_in_B_flat_minor,_Op.35/1._Grave_-_Doppio_movimento/10086.mid",https://www.youtube.com/watch?v=KAgHumUlYv0
Samson François,48.0,"Chopin: Nocturne No. 12 in G Major, Op. 37 No. 2",319.266,Frédéric Chopin,1455,,"Frederic_Chopin/Nocturne_in_G_Major,_Op._37_No._2/Nocturne_No._12_in_G_Major,_Op._37,_No._2/10119.mid",https://www.youtube.com/watch?v=f-_p4XJrwUg
Emil Gilels,1.0,"Polonaise No. 4 in C Minor, Op. 40 No. 2: Allegro maestoso",366.49300000000005,Frédéric Chopin,1456,,"Frederic_Chopin/Polonaises,_Op._40/Polonaise_No._4_in_C_Minor,_Op._40,_No._2/10123.mid",https://www.youtube.com/watch?v=zOWg2IpXiOk
Vladimir Ashkenazy,6.0,"Polonaise No.4 in C minor, Op.40 No.2",412.84,Frédéric Chopin,1456,,"Frederic_Chopin/Polonaises,_Op._40/Polonaise_No._4_in_C_Minor,_Op._40,_No._2/10127.mid",https://www.youtube.com/watch?v=Rwkok14ON18
Lazar Berman,47.0,"Polonaise No. 4 in C Minor, Op. 40 No. 2: Allegro maestoso",427.81300000000016,Frédéric Chopin,1456,,"Frederic_Chopin/Polonaises,_Op._40/Polonaise_No._4_in_C_Minor,_Op._40,_No._2/10130.mid",https://www.youtube.com/watch?v=ovloRUYZbRA
Maurizio Pollini,5.0,"Ballade No.1 In G Minor, Op.23",515.0,Frédéric Chopin,1611,,"Frederic_Chopin/Ballade_No._1_in_G_Minor,_Op._23/10975.mid",https://www.youtube.com/watch?v=06-puNWFuMQ
Daniel Barenboim,9.0,"Fantaisie In F Minor, Op.49",809.32,Frédéric Chopin,1635,,"Frederic_Chopin/Fantaisie_in_F_minor,_Op._49/11240.mid",https://www.youtube.com/watch?v=X4NUFv49_-U
Martha Argerich,7.0,"Scherzo No. 2 in B-Flat Minor, Op. 31: Presto",531.4259999999998,Frédéric Chopin,1659,,"Frederic_Chopin/Scherzo_No._2_in_B-Flat_Minor,_Op._31,_B._111/11516.mid",https://www.youtube.com/watch?v=-2KCApijO7M
Samson François,48.0,"Chopin: Nocturne No. 11 in G Minor, Op. 37 No. 1",296.533,Frédéric Chopin,1670,,"Frederic_Chopin/Nocturne_No._11_in_G_minor,_Op._37_No._1/11609.mid",https://www.youtube.com/watch?v=8d3cnKHFQQQ
Vladimir Ashkenazy,6.0,"Waltz No.7 in C sharp minor, Op.64, No.2",206.866,Frédéric Chopin,1679,,"Frederic_Chopin/Waltz_No.7_in_C_sharp_minor,_Op.64,_No.2/11704.mid",https://www.youtube.com/watch?v=j8_DjYyZIoo
